time,open,high,low,close,volume,close_t0,close_t1,close_t2,close_t3,close_t4,close_t5,close_t6,coef_close_t0_to_close_t6,ground_truth
2023-03-30,9.0,9.0,8.95,8.99,7002,1.0,0.982202447163515,0.9810901001112348,0.988876529477197,1.0166852057842046,1.0122358175750834,1.0111234705228032,0.004608294930875575,up
2023-03-31,8.85,9.0,8.37,8.83,52708,1.0,0.9988674971687429,1.0067950169875426,1.0351075877689695,1.030577576443941,1.0294450736126841,1.0203850509626273,0.0052176023297201045,up
2023-04-03,8.83,8.97,8.61,8.82,24127,1.0,1.007936507936508,1.036281179138322,1.0317460317460316,1.030612244897959,1.0215419501133787,1.0170068027210886,0.002591512795594442,sideways
2023-04-04,8.86,8.89,8.8,8.89,29709,1.0,1.0281214848143982,1.0236220472440944,1.0224971878515186,1.013498312710911,1.0089988751406074,1.0202474690663668,0.00044190904708339435,sideways
2023-04-05,8.76,9.14,8.75,9.14,21747,1.0,0.9956236323851202,0.9945295404814004,0.985776805251641,0.9814004376367615,0.9923413566739606,0.9846827133479211,-0.0023444826508283796,sideways
2023-04-06,9.14,9.2,9.05,9.1,31629,1.0,0.9989010989010989,0.9901098901098901,0.9857142857142859,0.9967032967032968,0.989010989010989,0.9978021978021978,-0.0007064364207221284,sideways
2023-04-07,9.08,9.1,9.03,9.09,16020,1.0,0.9911991199119912,0.9867986798679869,0.9977997799779978,0.9900990099009901,0.9988998899889989,0.9900990099009901,-0.0003928964325003922,sideways
2023-04-10,9.0,9.1,9.0,9.01,18705,1.0,0.995560488346282,1.0066592674805772,0.9988901220865705,1.0077691453940067,0.9988901220865705,1.0044395116537181,0.0007531314412557481,sideways
2023-04-11,9.02,9.02,8.9,8.97,7400,1.0,1.0111482720178373,1.0033444816053512,1.0122630992196209,1.0033444816053512,1.0089186176142697,1.0144927536231882,0.0013935340022296265,sideways
2023-04-12,9.02,9.1,8.92,9.07,34310,1.0,0.992282249173098,1.0011025358324146,0.992282249173098,0.9977949283351709,1.0033076074972436,1.0066152149944874,0.0013781697905181948,sideways
2023-04-13,9.24,9.24,9.0,9.0,21340,1.0,1.008888888888889,1.0,1.0055555555555555,1.011111111111111,1.0144444444444445,1.011111111111111,0.0019841269841269766,sideways
