time,open,high,low,close,volume
2023-03-30,67.93,68.56,67.84,68.2,839461
2023-03-31,68.2,68.56,67.65,67.65,1076689
2023-04-03,67.84,68.11,67.47,67.65,851274
2023-04-04,67.65,67.75,67.47,67.47,1819637
2023-04-05,67.47,68.02,67.38,67.75,964016
2023-04-06,67.65,67.84,67.56,67.56,906247
2023-04-07,67.65,67.93,67.56,67.93,795228
2023-04-10,67.93,67.93,67.65,67.65,833066
2023-04-11,67.56,67.75,67.38,67.65,783565
2023-04-12,67.65,67.65,67.29,67.56,979996
2023-04-13,67.56,67.65,66.84,66.84,891570
2023-04-14,66.93,67.02,66.2,66.2,1294816
2023-04-17,66.2,66.29,65.2,65.2,1366872
2023-04-18,65.29,66.38,65.29,66.38,932467
2023-04-19,66.47,66.47,65.47,65.47,817480
2023-04-20,65.56,66.02,65.29,65.38,822994
2023-04-21,65.47,65.47,64.38,64.47,1109508
2023-04-24,64.56,64.65,63.83,64.11,1135168
2023-04-25,64.11,64.93,63.47,63.56,1371733
2023-04-26,63.65,64.56,63.65,64.56,942125
2023-04-27,64.56,64.56,63.2,63.2,1370570
2023-04-28,63.47,63.83,63.38,63.65,1117094
2023-05-04,63.65,63.65,62.2,62.38,2659616
2023-05-05,62.38,62.93,62.38,62.56,712871
2023-05-08,62.74,64.02,62.74,64.02,1228760
2023-05-09,64.38,64.56,64.11,64.29,872498
2023-05-10,64.38,64.65,64.11,64.11,952494
2023-05-11,64.11,64.47,63.65,63.65,447884
2023-05-12,64.02,64.02,63.2,63.29,1214899
2023-05-15,63.56,63.56,62.74,62.74,1539719
2023-05-16,62.74,63.38,62.74,63.38,1381060
2023-05-17,63.38,63.38,62.56,62.74,1869705
2023-05-18,62.74,63.65,62.29,62.93,2498777
2023-05-19,63.11,63.2,62.38,62.38,1204484
2023-05-22,62.47,62.74,62.02,62.02,1699621
2023-05-23,61.83,62.2,60.93,60.93,2940962
2023-05-24,61.02,61.29,60.11,60.29,2354186
2023-05-25,60.2,61.38,60.02,61.02,1306722
2023-05-26,61.29,61.83,61.02,61.02,906227
2023-05-29,61.2,61.56,61.02,61.02,1044750
2023-05-30,61.02,61.29,60.47,60.47,1772267
2023-05-31,60.74,60.74,60.11,60.11,1468744
2023-06-01,60.11,60.47,60.02,60.11,1217050
2023-06-02,60.2,60.29,59.56,59.92,2972493
2023-06-05,60.47,61.11,60.2,60.47,3326155
2023-06-06,60.83,60.83,60.02,60.38,3425841
2023-06-07,60.47,60.65,60.02,60.2,3720457
2023-06-08,60.47,60.47,59.56,59.56,5040797
2023-06-09,59.65,60.47,59.56,59.83,2081714
2023-06-12,60.02,61.83,60.02,61.74,5452337
2023-06-13,61.93,62.11,61.38,61.47,4946444
2023-06-14,61.56,62.02,61.02,61.02,4911944
2023-06-15,61.2,61.29,60.2,60.29,4689964
2023-06-16,60.47,60.56,60.02,60.11,5994312
2023-06-19,60.29,60.56,59.65,59.83,3284579
2023-06-20,59.92,59.92,59.56,59.56,2964627
2023-06-21,59.65,60.29,59.56,60.29,3492784
2023-06-22,60.47,61.2,60.29,60.83,5613113
2023-06-23,60.93,63.2,60.93,62.83,11963164
2023-06-26,63.02,64.29,62.11,64.2,10742723
2023-06-27,64.38,64.38,63.29,64.11,5982210
2023-06-28,64.11,64.47,63.38,64.2,6157222
2023-06-29,64.2,65.84,63.74,65.38,7702292
2023-06-30,65.38,65.47,64.38,64.56,3646759
2023-07-03,64.65,64.93,63.93,64.29,3187816
2023-07-04,64.11,64.74,63.74,64.2,4783357
2023-07-05,64.38,64.38,63.29,63.47,6661035
2023-07-06,63.56,64.29,63.47,64.11,7632376
2023-07-07,64.29,64.74,64.02,64.47,5782449
2023-07-10,64.93,66.11,64.74,65.56,6174583
2023-07-11,65.56,66.74,65.2,66.2,5705271
2023-07-12,66.29,66.84,66.02,66.84,4197529
2023-07-13,66.74,67.11,66.29,66.47,3785836
