time,open,high,low,close,volume
2023-03-30,11.82,12.02,11.78,12.02,1116
2023-03-31,11.68,11.99,11.68,11.99,2700
2023-04-03,11.78,11.96,11.78,11.96,12300
2023-04-04,11.99,11.99,11.99,11.99,100
2023-04-05,11.82,11.99,11.78,11.96,10408
2023-04-06,11.85,11.96,11.78,11.92,18300
2023-04-07,11.85,11.92,11.78,11.92,17700
2023-04-10,11.78,11.78,11.37,11.78,13111
2023-04-11,11.78,11.78,11.64,11.75,10606
2023-04-12,11.75,11.82,11.64,11.71,17803
2023-04-13,11.89,11.89,11.82,11.82,740
2023-04-14,11.82,11.82,11.71,11.82,7508
2023-04-17,11.78,11.82,11.78,11.78,3100
2023-04-18,11.78,11.85,11.78,11.85,1210
2023-04-19,11.85,11.85,11.85,11.85,5210
2023-04-20,11.85,12.65,11.85,12.65,195501
2023-04-21,13.13,13.17,12.82,13.1,53220
2023-04-24,13.1,13.1,12.47,12.47,80118
2023-04-25,12.41,12.41,11.92,11.92,36806
2023-04-26,12.34,12.34,11.96,12.23,6806
2023-04-27,12.2,12.89,12.16,12.44,48418
2023-04-28,12.47,12.61,12.47,12.61,16700
2023-05-04,12.47,12.54,12.34,12.34,63364
2023-05-05,12.41,12.51,12.34,12.41,8030
2023-05-08,12.47,12.47,12.2,12.44,7023
2023-05-09,12.41,12.47,12.23,12.23,36008
2023-05-10,12.23,12.51,12.23,12.47,38301
2023-05-11,12.51,12.54,12.2,12.51,50501
2023-05-12,12.51,12.58,12.34,12.34,14000
2023-05-15,12.48,12.52,12.37,12.41,42205
2023-05-16,12.55,12.63,12.41,12.41,24701
2023-05-17,12.48,12.48,12.23,12.23,31200
2023-05-18,12.3,12.3,12.23,12.26,7406
2023-05-19,12.26,12.3,12.23,12.23,4700
2023-05-22,12.23,12.26,11.9,12.26,8700
2023-05-23,12.08,12.12,12.08,12.12,910
2023-05-24,12.12,12.3,12.05,12.12,26616
2023-05-25,12.12,12.26,12.05,12.26,37905
2023-05-26,12.34,12.84,12.34,12.55,85305
2023-05-29,12.7,12.7,12.55,12.55,28210
2023-05-30,12.63,12.7,12.48,12.55,23100
2023-05-31,12.52,12.63,12.41,12.48,22800
2023-06-01,12.55,13.35,12.55,13.35,316700
2023-06-02,13.79,13.79,13.13,13.13,13000
2023-06-05,13.21,13.21,12.7,13.06,18550
2023-06-06,13.06,13.21,12.63,13.06,29512
2023-06-07,13.13,13.28,12.81,13.13,4500
2023-06-08,12.84,13.02,12.84,12.84,7000
2023-06-09,12.84,13.06,12.73,12.73,1872
2023-06-12,12.7,13.02,12.7,13.02,2633
2023-06-13,13.06,13.1,12.88,13.02,6200
2023-06-14,13.02,13.06,12.88,13.06,16866
2023-06-15,13.06,13.17,13.06,13.17,25806
2023-06-16,13.06,13.13,13.06,13.06,6215
2023-06-19,13.21,13.35,13.06,13.06,16228
2023-06-20,13.35,13.42,13.28,13.42,19333
2023-06-21,13.42,14.29,13.42,14.29,101082
2023-06-22,15.27,15.27,15.24,15.27,327968
2023-06-23,16.33,16.33,16.22,16.33,459240
2023-06-26,17.38,17.38,15.96,15.96,93707
2023-06-27,16.11,16.18,15.67,15.89,80362
2023-06-28,15.89,15.89,15.46,15.71,46483
2023-06-29,15.82,15.82,15.49,15.53,48700
2023-06-30,15.53,15.6,15.38,15.53,42938
2023-07-03,15.6,15.78,15.31,15.49,33802
2023-07-04,15.67,15.71,15.31,15.56,54474
2023-07-05,15.6,15.89,15.6,15.82,83110
2023-07-06,15.85,15.89,15.6,15.89,43900
2023-07-07,15.89,15.96,15.71,15.82,55493
2023-07-10,15.78,15.93,15.71,15.93,60902
2023-07-11,15.93,15.93,15.82,15.89,73420
2023-07-12,15.89,15.96,14.8,15.56,52640
2023-07-13,15.6,15.6,15.24,15.42,58020
2023-07-14,16.47,16.47,15.89,16.47,474585
2023-07-17,17.6,17.6,17.6,17.6,451748
2023-07-18,18.76,18.79,18.36,18.43,568028
2023-07-19,18.43,18.54,17.42,17.92,273357
2023-07-20,17.92,18.58,17.89,18.1,89306
2023-07-21,18.47,18.47,17.89,18.0,246333
2023-07-24,18.14,18.39,18.0,18.39,432930
2023-07-25,18.5,19.56,18.5,19.08,490296
2023-07-26,18.87,19.16,18.5,18.61,428979
2023-07-27,17.32,17.97,17.32,17.32,368669
2023-07-28,17.11,17.11,16.12,16.12,342074
2023-07-31,16.12,16.12,15.0,15.6,362782
2023-08-01,15.9,15.9,15.26,15.26,81849
2023-08-02,15.13,15.26,14.61,14.66,224817
2023-08-03,14.96,15.13,14.7,14.91,91768
2023-08-04,15.04,15.04,14.53,14.66,169111
2023-08-07,14.66,14.79,14.57,14.7,153767
2023-08-08,14.79,15.26,14.61,15.09,134572
2023-08-09,15.13,15.13,14.79,14.91,94715
2023-08-10,14.79,14.91,14.74,14.79,65100
2023-08-11,14.91,14.91,14.74,14.87,84107
2023-08-14,14.87,14.87,14.7,14.74,83557
2023-08-15,14.74,14.83,14.57,14.79,105772
2023-08-16,14.79,15.04,14.7,14.96,118209
2023-08-17,14.96,15.65,14.91,15.22,88649
2023-08-18,15.26,15.26,14.18,14.36,153110
2023-08-21,14.4,14.61,14.18,14.53,51036
2023-08-22,14.61,14.61,14.23,14.61,105823
2023-08-23,14.36,14.61,14.36,14.4,37964
2023-08-24,14.44,14.44,14.27,14.4,76345
2023-08-25,14.4,14.44,14.27,14.44,64583
2023-08-28,14.44,14.57,14.18,14.57,64059
2023-08-29,14.44,14.57,14.4,14.57,36783
2023-08-30,14.61,14.96,14.57,14.79,53932
2023-08-31,15.04,15.04,14.79,14.83,25303
2023-09-05,14.87,15.0,14.7,14.79,81732
2023-09-06,14.79,14.79,14.57,14.74,90331
2023-09-07,14.74,14.96,14.61,14.91,73433
2023-09-08,14.66,15.04,14.66,14.96,52528
2023-09-11,14.96,15.0,14.74,14.74,53402
2023-09-12,14.74,14.83,14.61,14.7,31264
2023-09-13,14.7,15.01,14.52,14.52,177325
2023-09-14,14.39,14.74,14.35,14.52,34610
2023-09-15,14.57,14.61,14.39,14.61,28001
2023-09-18,14.48,14.48,14.26,14.26,28101
2023-09-19,14.21,14.35,14.12,14.3,19058
2023-09-20,14.35,14.43,14.3,14.43,28300
2023-09-21,14.48,14.48,14.17,14.26,40610
2023-09-22,14.21,14.21,13.73,14.12,55029
2023-09-25,14.17,14.17,13.5,13.5,78122
2023-09-26,13.55,13.73,13.5,13.59,40067
2023-09-27,13.77,13.77,13.46,13.68,61702
2023-09-28,13.73,13.73,13.37,13.5,26984
2023-09-29,13.55,13.77,13.55,13.64,8500
2023-10-02,13.73,13.73,13.64,13.73,3300
