time,open,high,low,close,volume
2023-03-30,29.5,31.25,29.3,29.9,7148508
2023-03-31,30.0,31.0,29.55,29.55,5358755
2023-04-03,29.9,30.2,29.5,29.6,3058366
2023-04-04,29.6,29.6,29.05,29.45,1958521
2023-04-05,29.45,29.55,29.2,29.45,2446330
2023-04-06,29.55,29.55,29.3,29.5,2706949
2023-04-07,29.5,29.55,28.5,29.2,1724239
2023-04-10,29.3,29.3,28.9,29.1,1435753
2023-04-11,28.95,29.15,28.85,29.05,1017245
2023-04-12,28.95,29.05,28.5,28.7,2836966
2023-04-13,28.8,29.05,28.2,28.4,1089677
2023-04-14,28.65,28.8,28.45,28.6,2693369
2023-04-17,28.6,29.0,27.9,28.3,1578633
2023-04-18,28.45,28.6,28.25,28.5,2264142
2023-04-19,28.6,28.85,27.8,28.3,2463137
2023-04-20,28.3,28.35,27.95,28.3,1686817
2023-04-21,28.3,28.3,27.6,27.9,2738811
2023-04-24,28.75,28.9,28.0,28.15,3751229
2023-04-25,28.2,28.3,27.4,27.7,3438546
2023-04-26,27.8,27.8,26.85,27.5,4003484
2023-04-27,27.45,27.45,27.0,27.0,2082664
2023-04-28,27.1,27.7,27.1,27.7,2842649
2023-05-04,27.55,27.75,27.2,27.25,1435815
2023-05-05,27.25,27.55,27.1,27.15,1515294
2023-05-08,27.45,27.45,27.15,27.45,3009664
2023-05-09,27.45,27.65,27.35,27.4,2135673
2023-05-10,27.55,27.8,27.45,27.8,3978551
2023-05-11,28.0,28.15,27.85,28.05,3295840
2023-05-12,28.05,28.3,27.75,28.15,3287495
2023-05-15,28.45,28.65,28.3,28.4,3477807
2023-05-16,28.4,28.4,28.0,28.4,2735735
2023-05-17,28.3,28.35,27.9,27.9,3184623
2023-05-18,28.0,28.3,27.6,28.1,3969016
2023-05-19,28.05,28.3,27.7,28.0,2889024
2023-05-22,28.0,28.15,27.85,27.9,4432352
2023-05-23,27.9,28.1,27.65,27.7,3424438
2023-05-24,27.95,27.95,27.5,27.65,1611235
2023-05-25,27.6,27.75,27.5,27.7,1360084
2023-05-26,27.75,27.8,27.6,27.7,2026492
2023-05-29,27.7,27.85,27.7,27.7,2743366
2023-05-30,27.75,27.9,27.65,27.7,3115465
2023-05-31,27.75,27.8,27.1,27.1,5545393
2023-06-01,27.1,27.35,26.75,26.85,4880711
2023-06-02,27.05,27.35,26.9,27.1,2949657
2023-06-05,27.45,27.45,27.1,27.1,3293417
2023-06-06,27.15,27.35,27.1,27.35,2329807
2023-06-07,27.4,27.45,27.2,27.25,3217961
2023-06-08,27.2,27.4,26.9,26.9,4428003
2023-06-09,27.05,27.05,26.6,26.7,2896502
2023-06-12,26.75,26.9,26.45,26.7,3007236
2023-06-13,26.8,27.15,26.7,27.1,3192722
2023-06-14,27.15,27.4,27.15,27.15,2863825
2023-06-15,27.2,27.3,26.85,26.85,2922585
2023-06-16,27.0,27.05,26.5,26.5,4576333
2023-06-19,26.65,26.85,26.55,26.55,2842063
2023-06-20,26.55,26.75,26.55,26.65,1914275
2023-06-21,26.65,26.85,26.65,26.8,2665746
2023-06-22,26.8,27.05,26.8,27.0,3347948
2023-06-23,27.0,27.1,26.85,26.85,3439426
2023-06-26,27.0,27.0,26.5,26.7,5158040
2023-06-27,26.8,27.55,26.75,27.45,7671607
2023-06-28,27.55,27.65,27.15,27.3,4162721
2023-06-29,27.2,27.6,27.0,27.0,5476170
2023-06-30,27.1,27.2,26.8,26.8,2612465
2023-07-03,26.95,27.2,26.85,27.0,3201058
2023-07-04,27.0,27.2,26.95,27.2,2532104
2023-07-05,27.2,27.7,27.1,27.5,5713543
2023-07-06,27.5,27.6,26.9,26.95,5699686
2023-07-07,26.95,27.05,26.8,27.0,4102621
2023-07-10,27.1,27.2,26.85,26.95,5570694
2023-07-11,27.1,27.65,27.0,27.3,8711299
2023-07-12,27.45,28.3,27.45,28.1,15359815
2023-07-13,28.3,28.35,28.05,28.15,7073630
2023-07-14,28.3,28.3,27.6,28.0,10209955
2023-07-17,28.05,28.75,28.0,28.65,7291534
2023-07-18,28.5,28.65,28.3,28.3,5731828
2023-07-19,28.35,28.35,27.85,27.95,7742793
2023-07-20,27.95,28.1,27.7,28.05,4272722
2023-07-21,28.0,28.4,27.95,28.4,5093470
2023-07-24,28.6,28.65,28.25,28.4,4771387
2023-07-25,28.4,29.35,28.15,29.0,8778703
2023-07-26,28.85,29.15,28.75,28.9,2785896
2023-07-27,28.9,28.95,28.3,28.5,6088404
2023-07-28,29.0,29.1,28.55,28.8,6501814
2023-07-31,29.5,29.9,29.3,29.65,11603334
2023-08-01,29.7,30.3,29.1,29.1,7961987
2023-08-02,29.05,29.2,28.8,28.9,4973565
2023-08-03,28.9,29.2,28.35,28.4,6527082
2023-08-04,28.6,29.1,28.5,28.7,4926317
2023-08-07,29.0,29.6,28.8,29.6,8303138
2023-08-08,29.9,31.45,29.7,31.0,17961482
2023-08-09,30.85,31.3,30.7,30.9,8739401
2023-08-10,30.9,30.95,29.95,30.05,7609035
2023-08-11,30.7,30.75,29.55,30.75,10674274
2023-08-14,30.6,30.7,30.2,30.3,6377605
2023-08-15,30.1,31.75,29.9,31.3,9340592
2023-08-16,31.9,32.0,31.3,31.5,11808239
2023-08-17,31.4,31.4,30.6,30.6,9883082
2023-08-18,30.2,30.5,28.6,29.1,13780835
2023-08-21,29.1,29.85,28.65,29.5,4806603
2023-08-22,29.3,29.45,28.1,29.3,4757234
2023-08-23,29.75,29.9,28.7,28.75,4721938
2023-08-24,28.85,29.2,28.7,29.05,3207918
2023-08-25,28.95,29.25,28.7,28.7,3336364
2023-08-28,28.95,29.75,28.85,29.75,4409798
2023-08-29,29.75,29.8,29.2,29.25,2830376
2023-08-30,29.35,29.9,29.3,29.7,6020013
2023-08-31,29.75,30.5,29.7,30.3,7228463
2023-09-05,30.3,30.75,30.1,30.15,4954637
2023-09-06,30.3,30.55,30.0,30.3,4060365
