time,open,high,low,close,volume
2023-03-30,7.0,7.0,7.0,7.0,1121
2023-03-31,6.6,7.0,6.6,7.0,700
2023-04-03,6.9,6.9,6.9,6.9,0
2023-04-04,7.0,7.0,6.6,6.7,3600
2023-04-05,6.7,6.7,6.7,6.7,600
2023-04-06,6.6,6.7,6.6,6.7,6110
2023-04-07,7.1,7.1,6.7,7.1,500
2023-04-10,7.0,7.0,7.0,7.0,100
2023-04-11,7.0,7.0,7.0,7.0,3700
2023-04-12,7.0,7.0,7.0,7.0,0
2023-04-13,8.0,8.0,8.0,8.0,101
2023-04-14,7.9,7.9,7.9,7.9,100
2023-04-17,7.0,7.0,6.8,7.0,1400
2023-04-18,7.0,8.0,7.0,7.2,720
2023-04-19,7.0,7.0,6.2,6.3,10830
2023-04-20,6.5,6.5,6.4,6.4,600
2023-04-21,6.6,6.8,6.6,6.8,1200
2023-04-24,5.8,6.8,5.8,6.7,6300
2023-04-25,5.8,5.8,5.8,5.8,224
2023-04-26,5.1,5.8,5.1,5.8,15657
2023-04-27,5.8,5.8,5.8,5.8,100
2023-04-28,6.6,6.6,5.9,5.9,2800
2023-05-04,6.0,6.0,6.0,6.0,1109
2023-05-05,6.7,6.7,6.7,6.7,100
2023-05-08,6.7,6.7,6.0,6.1,7501
2023-05-09,6.1,6.1,6.1,6.1,500
2023-05-10,6.8,6.9,6.8,6.9,200
2023-05-11,6.9,6.9,6.1,6.4,7708
2023-05-12,6.3,6.5,6.2,6.4,37300
2023-05-15,6.9,6.9,6.9,6.9,5324
2023-05-16,7.1,7.8,6.9,7.3,63201
2023-05-17,7.3,7.5,7.2,7.5,37700
2023-05-18,8.0,8.0,7.6,7.9,18700
2023-05-19,8.0,8.0,7.8,7.9,22600
2023-05-22,8.0,8.2,7.9,8.2,17700
2023-05-23,8.4,8.5,8.2,8.4,21700
2023-05-24,8.4,8.8,8.3,8.4,27102
2023-05-25,8.9,8.9,8.1,8.3,18900
2023-05-26,8.4,8.4,8.4,8.4,4500
2023-05-29,8.5,8.6,8.3,8.3,13908
2023-05-30,8.4,8.4,7.9,8.0,14100
2023-05-31,8.1,8.1,8.0,8.1,11900
2023-06-01,8.1,8.8,8.1,8.5,8523
2023-06-02,8.1,8.1,8.0,8.1,9100
2023-06-05,8.2,8.2,8.1,8.1,1724
2023-06-06,8.2,8.2,8.2,8.2,1400
2023-06-07,8.2,8.2,8.1,8.1,9100
2023-06-08,8.1,8.2,8.0,8.2,4002
2023-06-09,8.1,8.1,8.1,8.1,3200
2023-06-12,8.2,8.2,7.9,7.9,7500
2023-06-13,8.0,8.2,8.0,8.0,11300
2023-06-14,7.9,8.3,7.9,8.2,17024
2023-06-15,8.3,8.5,8.2,8.3,5000
2023-06-16,8.5,8.6,8.3,8.4,14300
2023-06-19,8.5,8.5,8.3,8.4,5600
2023-06-20,8.4,8.4,8.4,8.4,501
2023-06-21,8.4,8.4,8.4,8.4,700
2023-06-22,8.4,8.4,8.0,8.0,4500
2023-06-23,8.3,8.3,8.2,8.2,2400
2023-06-26,8.3,8.3,8.3,8.3,800
2023-06-27,8.3,8.3,8.0,8.2,2900
2023-06-28,8.2,8.2,8.2,8.2,400
2023-06-29,8.2,8.2,8.2,8.2,2700
2023-06-30,7.2,8.2,7.2,7.9,17000
2023-07-03,8.8,8.8,8.1,8.1,2501
2023-07-04,7.4,8.2,7.4,7.9,5900
2023-07-05,8.0,8.0,7.0,8.0,9501
2023-07-06,8.0,8.0,8.0,8.0,1500
2023-07-07,8.0,8.1,8.0,8.1,4100
2023-07-10,8.1,8.2,8.0,8.1,2900
2023-07-11,8.2,8.3,8.2,8.2,17332
2023-07-12,8.1,8.1,8.0,8.0,600
2023-07-13,8.0,8.1,8.0,8.0,2800
2023-07-14,8.0,8.0,8.0,8.0,1000
2023-07-17,8.0,8.1,8.0,8.0,4132
2023-07-18,7.9,7.9,7.9,7.9,1020
2023-07-19,8.0,8.2,8.0,8.2,2550
2023-07-20,8.1,8.1,8.0,8.0,941
2023-07-21,8.0,8.0,7.9,7.9,3800
2023-07-24,8.2,9.2,8.2,9.2,74320
2023-07-25,9.4,9.8,9.4,9.8,18721
2023-07-26,11.2,11.2,11.2,11.2,72791
2023-07-27,12.8,12.8,12.6,12.8,108136
2023-07-28,14.7,14.7,14.5,14.6,370715
2023-07-31,16.9,16.9,15.4,16.9,262302
2023-08-01,19.4,19.4,17.5,19.4,514890
2023-08-02,19.8,22.1,19.4,22.1,376679
2023-08-03,22.2,24.9,22.1,24.9,140630
2023-08-04,28.5,28.5,27.0,28.5,186571
2023-08-07,30.3,32.7,30.0,32.7,293943
2023-08-08,37.4,37.4,37.4,37.4,219597
2023-08-09,43.0,43.0,31.8,31.8,394595
2023-08-10,33.2,39.0,33.2,33.2,27085
2023-08-11,28.7,28.7,28.7,28.7,10976
2023-08-14,24.4,24.4,24.4,24.4,18869
2023-08-15,20.8,28.0,20.8,28.0,1165799
2023-08-16,26.5,26.5,26.5,26.5,43580
2023-08-17,30.0,30.4,22.6,23.4,658669
2023-08-18,23.7,24.8,22.0,24.6,414494
2023-08-21,24.1,25.9,23.8,24.9,244263
2023-08-22,24.6,26.3,24.2,26.3,350548
2023-08-23,26.3,27.3,26.0,27.1,187382
2023-08-24,27.1,27.2,26.0,27.0,259425
2023-08-25,27.0,30.0,26.2,27.9,277525
2023-08-28,28.0,31.3,27.9,31.3,236109
2023-08-29,33.0,34.8,30.3,34.4,238884
2023-08-30,35.0,36.8,32.9,35.6,261015
2023-08-31,35.0,37.0,33.9,36.3,327043
2023-09-05,35.2,38.4,35.2,37.0,107017
2023-09-06,36.0,36.8,35.0,36.8,148388
2023-09-07,36.0,38.3,36.0,37.4,146983
2023-09-08,37.8,38.3,36.7,37.7,153331
2023-09-11,37.0,39.0,35.0,36.8,162425
2023-09-12,36.8,40.0,36.8,39.8,165818
2023-09-13,39.5,40.1,39.0,39.1,63806
2023-09-14,39.6,39.9,38.5,39.0,58306
2023-09-15,39.0,40.8,39.0,40.0,50921
2023-09-18,40.0,40.2,39.8,40.1,36633
2023-09-19,39.5,40.2,39.2,39.9,60595
2023-09-20,39.5,42.0,39.5,41.5,115056
2023-09-21,40.2,41.0,40.2,40.2,54112
2023-09-22,40.5,40.6,35.0,38.8,32572
2023-09-25,38.4,38.8,36.5,36.9,42198
2023-09-26,36.5,38.5,36.5,38.4,20527
2023-09-27,38.5,39.3,38.0,39.3,20807
2023-09-28,39.9,39.9,37.8,38.5,19255
2023-09-29,39.8,39.9,38.0,38.5,21614
2023-10-02,38.0,38.5,37.9,38.0,8831
2023-10-03,37.8,37.8,36.5,36.5,18656
2023-10-04,37.6,38.9,37.1,38.6,13521
2023-10-05,38.0,38.5,37.8,37.8,7329
2023-10-06,37.1,38.0,37.1,37.9,22825
2023-10-09,37.6,38.0,37.6,37.9,5188
2023-10-10,38.0,39.5,37.8,39.1,74139
2023-10-11,39.3,39.5,38.7,39.2,11063
2023-10-12,39.2,39.2,38.0,38.6,11952
2023-10-13,38.5,39.0,38.4,39.0,23707
2023-10-16,39.0,39.0,38.2,38.5,2440
2023-10-17,38.6,38.6,37.8,38.6,13567
2023-10-18,38.0,38.0,37.0,37.5,9555
2023-10-19,37.1,37.1,35.2,37.0,5243
2023-10-20,36.5,38.0,35.9,38.0,23810
2023-10-23,38.0,38.0,38.0,38.0,1633
2023-10-24,38.0,38.5,37.5,38.2,10927
2023-10-25,39.0,39.1,38.1,38.1,5535
2023-10-26,38.0,38.0,37.0,37.9,8628
2023-10-27,38.5,38.5,37.7,38.4,3609
