time,open,high,low,close,volume
2023-03-30,31.94,32.4,31.94,32.32,40100
2023-03-31,32.57,33.29,32.53,33.12,60900
2023-04-03,33.12,33.8,33.12,33.42,35800
2023-04-04,33.8,33.8,33.12,33.54,63200
2023-04-05,33.42,33.75,33.42,33.75,19900
2023-04-06,33.75,33.88,33.63,33.88,13437
2023-04-07,33.71,33.92,33.46,33.88,27229
2023-04-10,33.88,33.96,33.8,33.88,20405
2023-04-11,34.64,34.64,33.88,34.05,11513
2023-04-12,34.6,34.6,34.05,34.05,8458
2023-04-13,34.3,34.3,34.01,34.05,7303
2023-04-14,34.05,34.43,33.8,34.05,36819
2023-04-17,34.18,34.18,34.18,34.18,1100
2023-04-18,33.84,34.01,33.8,33.96,37225
2023-04-19,33.88,33.96,33.63,33.96,8200
2023-04-20,33.96,34.18,32.95,33.8,12646
2023-04-21,33.46,34.13,33.2,34.13,48200
2023-04-24,33.46,34.13,33.46,33.8,28956
2023-04-25,33.46,34.01,33.46,33.8,29722
2023-04-26,33.8,34.01,32.7,34.01,32100
2023-04-27,33.46,34.05,33.46,34.05,6800
2023-04-28,34.47,35.57,34.05,35.06,118200
2023-05-04,35.4,35.49,34.72,34.89,9981
2023-05-05,34.72,35.02,34.22,35.02,41264
2023-05-08,35.15,35.23,34.89,35.23,26110
2023-05-09,35.57,35.65,35.23,35.32,143216
2023-05-10,35.4,35.49,35.32,35.4,34552
2023-05-11,35.57,35.57,34.81,35.32,45413
2023-05-12,35.49,35.53,34.94,35.4,74944
2023-05-15,35.4,35.4,35.15,35.36,11410
2023-05-16,35.53,35.53,35.23,35.36,32701
2023-05-17,35.44,35.44,35.27,35.4,117781
2023-05-18,35.4,35.49,35.02,35.11,12859
2023-05-19,35.15,35.7,35.15,35.7,313632
2023-05-22,35.74,36.38,35.7,35.7,26752
2023-05-23,35.92,36.01,35.47,35.83,16464
2023-05-24,35.47,35.97,35.47,35.97,21801
2023-05-25,36.06,36.06,35.47,35.56,25216
2023-05-26,35.56,35.92,35.56,35.74,80101
2023-05-29,35.83,35.92,35.65,35.92,51146
2023-05-30,35.61,35.83,35.61,35.83,7714
2023-05-31,35.92,36.01,35.74,36.01,106008
2023-06-01,35.83,36.11,35.65,35.83,9373
2023-06-02,35.47,35.92,34.56,35.83,334655
2023-06-05,35.7,35.97,35.7,35.88,25600
2023-06-06,35.79,36.06,35.74,35.92,22000
2023-06-07,35.83,36.83,35.47,36.24,74200
2023-06-08,36.29,36.38,35.92,36.2,21281
2023-06-09,36.11,36.2,35.83,36.2,28630
2023-06-12,36.47,36.47,36.11,36.33,12050
2023-06-13,36.01,37.11,36.01,36.83,91175
2023-06-14,37.24,37.24,36.56,36.83,9141
2023-06-15,36.83,37.2,36.79,37.11,42698
