time,open,high,low,close,volume
2023-03-30,10.1,10.1,10.1,10.1,200
2023-03-31,10.1,10.1,10.1,10.1,100
2023-04-03,10.1,10.1,10.1,10.1,0
2023-04-04,10.36,10.36,10.36,10.36,102
2023-04-05,10.36,10.36,10.36,10.36,0
2023-04-06,10.32,10.32,9.93,10.1,3100
2023-04-07,10.1,10.1,10.1,10.1,0
2023-04-10,10.32,10.45,10.32,10.45,400
2023-04-11,10.45,10.45,10.45,10.45,0
2023-04-12,10.19,10.27,10.19,10.27,1100
2023-04-13,10.23,10.27,10.23,10.27,3000
2023-04-14,10.23,10.23,10.23,10.23,200
2023-04-17,10.23,10.23,10.23,10.23,0
2023-04-18,10.92,10.92,10.92,10.92,4410
2023-04-19,10.92,10.92,10.92,10.92,2
2023-04-20,11.3,11.3,11.3,11.3,100
2023-04-21,11.3,11.3,11.3,11.3,0
2023-04-24,10.53,10.57,10.53,10.57,402
2023-04-25,10.57,10.57,10.57,10.57,0
2023-04-26,10.57,10.57,10.57,10.57,20
2023-04-27,10.57,10.57,10.57,10.57,10
2023-04-28,10.57,10.57,10.57,10.57,2
2023-05-04,10.57,10.57,10.57,10.57,0
2023-05-05,10.57,10.57,10.57,10.57,0
2023-05-08,9.93,10.4,9.85,10.4,1103
2023-05-09,10.27,10.27,10.27,10.27,101
2023-05-10,10.27,10.27,10.27,10.27,246
2023-05-11,10.19,10.19,10.19,10.19,400
2023-05-12,9.76,10.19,9.76,10.19,5200
2023-05-15,10.19,10.19,10.19,10.19,40
2023-05-16,9.93,10.23,9.93,10.23,1001
2023-05-17,10.02,10.23,10.02,10.23,400
2023-05-18,10.23,10.23,10.23,10.23,1303
2023-05-19,10.23,10.23,10.23,10.23,15
2023-05-22,9.76,10.15,9.76,10.15,1100
2023-05-23,10.02,10.1,10.02,10.1,1510
2023-05-24,9.85,10.19,9.85,10.19,700
2023-05-25,10.19,10.19,10.19,10.19,0
2023-05-26,10.1,10.15,9.85,10.1,1000
2023-05-29,9.76,10.15,9.76,10.15,1400
2023-05-30,10.19,10.19,10.19,10.19,100
2023-05-31,10.19,10.19,10.19,10.19,1600
2023-06-01,10.19,10.19,10.19,10.19,300
2023-06-02,10.19,10.23,10.19,10.23,801
2023-06-05,10.23,10.23,10.23,10.23,742
2023-06-06,10.23,10.27,10.23,10.27,300
2023-06-07,10.27,10.27,10.27,10.27,416
2023-06-08,10.27,10.45,10.1,10.1,2000
2023-06-09,10.1,10.1,10.1,10.1,0
2023-06-12,10.1,10.19,10.1,10.19,1000
