time,open,high,low,close,volume
2023-03-30,10.72,10.72,10.72,10.72,500
2023-03-31,11.67,11.67,11.67,11.67,163
2023-04-03,11.67,11.67,11.67,11.67,4
2023-04-04,11.24,11.24,11.24,11.24,100
2023-04-05,11.24,11.24,11.24,11.24,24
2023-04-06,11.24,11.24,11.24,11.24,0
2023-04-07,11.24,11.24,11.24,11.24,0
2023-04-10,11.24,11.24,11.24,11.24,0
2023-04-11,11.24,11.24,11.24,11.24,4
2023-04-12,11.24,11.24,11.24,11.24,0
2023-04-13,11.24,11.24,11.24,11.24,0
2023-04-14,11.24,11.24,11.24,11.24,0
2023-04-17,11.24,11.24,11.24,11.24,0
2023-04-18,11.24,11.24,11.24,11.24,0
2023-04-19,11.24,11.24,11.24,11.24,0
2023-04-20,11.24,11.24,11.24,11.24,0
2023-04-21,11.24,11.24,11.24,11.24,0
2023-04-24,11.24,11.24,11.24,11.24,10036
2023-04-25,11.24,11.24,11.24,11.24,5
2023-04-26,11.24,11.24,11.24,11.24,0
2023-04-27,11.24,11.24,11.24,11.24,0
2023-04-28,11.24,11.24,11.24,11.24,100
2023-05-04,11.24,11.24,11.24,11.24,1
2023-05-05,10.12,10.12,10.12,10.12,102
2023-05-08,11.07,11.07,9.77,10.2,1600
2023-05-09,10.2,10.2,10.2,10.2,0
2023-05-10,10.2,10.2,10.2,10.2,0
2023-05-11,10.38,10.38,10.38,10.38,100
2023-05-12,10.38,10.38,10.38,10.38,0
2023-05-15,10.38,10.38,10.38,10.38,0
2023-05-16,10.38,10.38,10.38,10.38,0
2023-05-17,10.38,10.38,10.38,10.38,22
2023-05-18,10.38,10.38,10.38,10.38,78
2023-05-19,10.38,10.38,10.38,10.38,24
2023-05-22,10.38,10.38,10.38,10.38,0
2023-05-23,11.07,11.07,11.07,11.07,100
2023-05-24,10.9,10.9,10.38,10.38,400
2023-05-25,10.38,10.38,10.38,10.38,4300
2023-05-26,9.6,9.6,9.6,9.6,304
2023-05-29,9.6,10.2,9.6,10.2,400
2023-05-30,10.64,10.64,10.64,10.64,500
2023-05-31,10.64,10.64,10.64,10.64,0
2023-06-01,10.64,10.64,10.64,10.64,36
2023-06-02,9.77,10.03,9.77,10.03,718
2023-06-05,10.9,10.9,10.9,10.9,130
2023-06-06,10.9,10.9,10.9,10.9,0
2023-06-07,10.9,10.9,10.9,10.9,0
2023-06-08,9.94,10.03,9.94,10.03,300
2023-06-09,9.94,9.94,9.77,9.77,217
2023-06-12,9.77,9.77,9.77,9.77,1200
2023-06-13,9.51,9.51,9.51,9.51,1123
2023-06-14,8.99,8.99,8.91,8.91,804
2023-06-15,9.51,9.51,8.73,8.73,258
2023-06-16,9.51,9.51,9.43,9.51,1673
2023-06-19,9.51,9.51,9.51,9.51,0
2023-06-20,9.51,9.51,9.51,9.51,0
2023-06-21,9.51,9.51,9.51,9.51,100
2023-06-22,9.51,9.51,9.51,9.51,0
2023-06-23,9.51,9.51,9.51,9.51,3001
2023-06-26,9.51,9.51,9.51,9.51,6
2023-06-27,9.51,9.51,9.51,9.51,70
2023-06-28,10.03,10.03,10.03,10.03,4810
2023-06-29,9.94,9.94,9.94,9.94,100
2023-06-30,9.94,9.94,9.94,9.94,0
2023-07-03,9.94,9.94,9.94,9.94,0
2023-07-04,10.9,10.9,10.38,10.38,255
2023-07-05,10.38,10.38,10.38,10.38,300
2023-07-06,10.55,10.55,10.55,10.55,1600
2023-07-07,10.55,10.55,10.55,10.55,418
2023-07-10,10.55,10.55,10.55,10.55,1
2023-07-11,10.55,10.55,10.55,10.55,0
2023-07-12,10.55,10.55,10.55,10.55,2
2023-07-13,10.55,10.55,10.55,10.55,82
2023-07-14,10.55,10.55,10.55,10.55,1
2023-07-17,10.55,10.55,10.55,10.55,33
2023-07-18,11.59,11.59,11.24,11.24,401
2023-07-19,11.24,11.24,11.24,11.24,1
2023-07-20,11.24,11.24,11.24,11.24,1
2023-07-21,11.24,11.24,11.24,11.24,96
2023-07-24,10.2,10.2,10.2,10.2,450
2023-07-25,11.15,11.15,10.2,10.2,8251
2023-07-26,11.15,11.15,10.2,10.2,2042
2023-07-27,10.2,10.2,10.2,10.2,6
2023-07-28,10.2,10.2,10.2,10.2,1
2023-07-31,9.34,9.43,9.34,9.34,1519
2023-08-01,10.2,10.2,10.03,10.2,543
2023-08-02,10.2,10.2,10.2,10.2,5200
2023-08-03,10.2,10.2,10.2,10.2,0
2023-08-04,11.15,11.15,10.98,11.15,3150
2023-08-07,10.38,10.38,10.29,10.29,1213
2023-08-08,11.24,11.24,11.15,11.15,399
2023-08-09,10.38,10.38,10.38,10.38,109
2023-08-10,11.24,11.24,9.51,9.51,6234
2023-08-11,9.51,9.51,9.51,9.51,25
2023-08-14,10.46,10.46,9.6,9.6,286
2023-08-15,9.68,9.68,9.6,9.6,5020
2023-08-16,9.51,9.51,9.51,9.51,13708
2023-08-17,9.51,9.51,9.51,9.51,0
2023-08-18,10.46,10.46,10.46,10.46,180
2023-08-21,10.46,10.46,9.43,9.43,2410
2023-08-22,9.43,9.43,9.43,9.43,31
2023-08-23,9.08,9.08,9.08,9.08,628
2023-08-24,9.08,9.08,9.08,9.08,13
2023-08-25,9.08,9.08,9.08,9.08,100
2023-08-28,9.94,9.94,9.86,9.86,240
2023-08-29,9.08,9.08,8.91,9.08,1697
2023-08-30,9.08,9.08,9.08,9.08,1
2023-08-31,9.94,9.94,9.94,9.94,103
2023-09-05,9.77,9.86,9.77,9.77,10708
2023-09-06,9.77,9.77,9.77,9.77,31781
2023-09-07,9.77,9.77,9.77,9.77,201
2023-09-08,10.38,10.38,9.17,9.25,339
2023-09-11,9.25,9.25,8.82,8.91,1560
2023-09-12,8.91,8.91,8.91,8.91,7
2023-09-13,8.91,8.91,8.91,8.91,440
2023-09-14,8.91,8.91,8.91,8.91,10
2023-09-15,8.91,8.91,8.91,8.91,1003
2023-09-18,8.91,8.91,8.91,8.91,1200
2023-09-19,8.65,8.65,8.65,8.65,2350
2023-09-20,8.65,8.65,8.65,8.65,0
2023-09-21,9.51,9.51,9.43,9.43,527
2023-09-22,9.43,9.43,9.43,9.43,1
2023-09-25,9.43,9.43,9.43,9.43,228
2023-09-26,9.08,9.08,9.08,9.08,330
2023-09-27,9.08,9.08,9.08,9.08,24
2023-09-28,8.65,8.65,8.56,8.56,500
2023-09-29,8.56,8.56,8.56,8.56,221
2023-10-02,8.56,8.56,8.39,8.39,301
2023-10-03,8.39,8.39,8.39,8.39,10
2023-10-04,8.39,8.39,7.61,7.61,4800
2023-10-05,8.3,8.3,8.3,8.3,1193
2023-10-06,8.3,8.3,8.3,8.3,0
2023-10-09,8.3,8.3,8.3,8.3,10
2023-10-10,8.3,8.3,8.3,8.3,225
2023-10-11,7.52,7.52,7.52,7.52,1007
2023-10-12,8.13,8.21,7.61,7.61,1199
2023-10-13,8.3,8.3,8.21,8.21,503
2023-10-16,7.61,7.61,7.61,7.61,901
2023-10-17,8.3,8.3,8.3,8.3,110
2023-10-18,8.3,8.3,8.3,8.3,6
2023-10-19,8.13,8.3,7.52,7.52,1420
2023-10-20,7.52,7.52,7.52,7.52,63
2023-10-23,8.21,8.21,8.04,8.21,1215
2023-10-24,8.21,8.21,8.21,8.21,100
2023-10-25,8.99,8.99,7.44,7.52,1601
2023-10-26,7.52,7.52,7.52,7.52,28
2023-10-27,8.21,8.21,8.21,8.21,100
2023-10-30,8.21,8.21,8.21,8.21,0
2023-10-31,7.44,7.44,7.44,7.44,230
2023-11-01,7.44,7.44,7.44,7.44,0
2023-11-02,8.13,8.13,7.96,7.96,302
2023-11-03,7.96,7.96,7.96,7.96,2
2023-11-06,7.18,8.73,7.18,8.73,11704
2023-11-07,8.73,9.6,8.65,9.6,14503
2023-11-08,10.55,10.55,8.65,10.46,10315
2023-11-09,9.43,11.33,9.43,11.33,9034
2023-11-10,11.24,12.37,10.2,10.2,17828
2023-11-13,11.15,11.15,9.34,11.15,24132
2023-11-14,11.15,12.19,11.15,12.19,48400
2023-11-15,11.07,11.07,10.98,10.98,16600
