time,open,high,low,close,volume
2023-03-30,23.35,23.98,23.35,23.62,387377
2023-03-31,23.71,24.33,23.71,24.24,567761
2023-04-03,24.42,25.22,24.33,25.04,604357
2023-04-04,25.04,25.22,24.51,24.86,424068
2023-04-05,24.86,26.2,24.77,26.02,1060125
2023-04-06,26.02,26.91,25.93,26.11,1135812
2023-04-07,26.11,26.91,25.75,26.82,897308
2023-04-10,26.82,27.71,26.73,26.82,1030817
2023-04-11,26.99,26.99,26.11,26.46,755041
2023-04-12,26.46,27.08,26.37,26.55,237019
2023-04-13,26.46,27.44,26.46,26.82,512258
2023-04-14,26.99,27.17,26.2,26.2,453831
2023-04-17,26.64,26.82,26.2,26.82,420617
2023-04-18,26.99,28.06,26.73,27.79,781389
2023-04-19,27.97,27.97,27.17,27.35,420923
2023-04-20,27.44,28.5,27.26,27.97,843817
2023-04-21,28.15,28.33,27.17,27.79,490731
2023-04-24,27.53,28.24,27.26,27.35,416535
2023-04-25,27.53,27.88,26.64,26.99,726149
2023-04-26,26.99,27.08,26.46,26.99,384752
2023-04-27,27.17,27.35,26.73,26.91,202729
2023-04-28,27.35,27.62,26.73,27.53,560881
2023-05-04,27.53,27.53,26.46,26.91,615954
2023-05-05,26.73,26.91,26.2,26.37,356790
2023-05-08,26.82,26.91,26.28,26.64,259340
2023-05-09,26.64,27.44,26.55,26.64,435658
2023-05-10,26.82,26.99,26.37,26.73,541065
2023-05-11,26.64,26.82,26.37,26.46,344003
2023-05-12,26.64,26.73,26.28,26.55,595144
2023-05-15,26.55,26.82,26.37,26.64,298824
2023-05-16,26.64,28.95,26.64,28.68,1888291
2023-05-17,28.68,30.72,28.68,29.84,1539452
2023-05-18,29.84,30.55,29.13,29.39,1054362
2023-05-19,29.39,31.08,29.3,30.81,1267969
2023-05-22,30.01,31.52,30.01,31.35,933359
2023-05-23,31.43,31.43,30.37,31.08,855687
2023-05-24,31.08,32.68,31.08,32.23,961596
2023-05-25,31.88,32.68,31.61,32.23,620696
2023-05-26,32.23,33.3,32.23,32.5,855463
2023-05-29,32.86,33.3,32.23,33.21,916378
2023-05-30,33.21,34.19,32.86,33.74,843576
2023-05-31,33.74,34.28,33.21,33.65,661381
2023-06-01,33.65,33.92,32.59,33.65,1129594
2023-06-02,33.39,34.01,33.12,33.39,572038
2023-06-05,33.21,33.65,32.86,33.39,710231
