time,open,high,low,close,volume
2023-03-30,25.8,25.8,25.8,25.8,0
2023-03-31,25.6,26.5,25.3,25.8,37200
2023-04-03,25.9,25.9,25.9,25.9,0
2023-04-04,25.9,25.9,25.9,25.9,0
2023-04-05,25.9,25.9,25.9,25.9,0
2023-04-06,25.9,25.9,25.9,25.9,0
2023-04-07,26.3,26.4,25.1,25.5,21300
2023-04-10,25.3,25.3,25.3,25.3,0
2023-04-11,25.3,25.3,25.3,25.3,0
2023-04-12,28.0,29.0,27.9,28.7,132500
2023-04-13,28.5,29.4,28.3,28.8,34400
2023-04-14,28.8,29.1,27.0,28.0,38666
2023-04-17,28.0,28.0,26.6,27.3,12600
2023-04-18,27.8,27.9,27.3,27.7,23205
2023-04-19,27.7,27.9,27.2,27.6,10300
2023-04-20,27.7,27.7,27.1,27.3,6705
2023-04-21,26.8,27.2,26.0,26.8,26800
2023-04-24,27.7,27.7,26.2,26.4,17031
2023-04-25,27.0,27.4,26.3,26.3,25446
2023-04-26,27.2,27.9,26.3,27.9,43600
2023-04-27,27.5,28.0,27.2,27.2,26209
2023-04-28,27.9,28.0,26.8,27.6,18203
2023-05-04,27.3,28.5,26.6,27.1,13810
2023-05-05,27.7,27.7,26.5,26.5,14500
2023-05-08,26.7,26.7,26.2,26.5,16301
2023-05-09,26.3,27.0,26.1,26.3,28800
2023-05-10,26.4,26.8,26.1,26.8,15703
2023-05-11,27.0,27.0,26.0,26.5,33910
2023-05-12,26.7,26.7,25.9,25.9,14511
2023-05-15,26.0,26.8,25.8,25.8,24338
2023-05-16,25.9,26.0,25.0,25.9,32100
2023-05-17,26.0,26.5,25.2,25.9,13323
2023-05-18,26.0,26.1,25.1,25.6,30000
2023-05-19,25.8,25.8,25.0,25.7,27812
2023-05-22,25.7,25.7,24.6,24.6,39735
2023-05-23,24.9,24.9,24.0,24.5,32917
2023-05-24,24.2,24.4,23.8,24.4,7600
2023-05-25,24.8,25.5,24.0,24.3,22304
2023-05-26,24.4,25.0,24.3,25.0,13422
2023-05-29,25.0,25.7,24.6,25.3,8603
2023-05-30,25.3,25.3,24.8,25.2,29500
2023-05-31,25.2,25.2,24.7,25.1,31900
2023-06-01,24.9,25.3,24.9,25.3,6310
2023-06-02,25.0,25.8,25.0,25.4,31600
2023-06-05,25.4,26.0,25.4,25.9,27900
2023-06-06,25.7,25.8,25.1,25.5,13305
2023-06-07,25.8,25.8,25.0,25.6,27331
2023-06-08,25.0,25.5,25.0,25.5,31584
2023-06-09,25.1,25.2,24.5,25.2,8298
2023-06-12,25.5,25.5,24.8,24.8,6251
2023-06-13,25.4,25.4,24.8,25.2,6329
2023-06-14,25.1,25.1,24.5,24.7,3900
2023-06-15,25.3,25.3,24.6,25.0,7903
2023-06-16,24.8,25.1,24.6,24.9,38600
2023-06-19,24.8,25.0,24.5,24.9,15500
2023-06-20,25.0,25.0,24.5,24.9,34200
2023-06-21,25.0,25.0,24.7,24.9,9000
2023-06-22,24.9,25.0,24.6,24.9,23403
2023-06-23,24.8,24.9,24.6,24.9,4728
2023-06-26,25.0,25.2,24.6,24.9,27100
2023-06-27,25.0,25.1,24.7,25.0,23517
2023-06-28,24.9,24.9,24.5,24.6,19414
2023-06-29,24.6,24.8,24.2,24.7,18410
2023-06-30,24.5,24.9,24.5,24.8,10924
2023-07-03,24.6,25.2,24.6,24.9,19116
2023-07-04,24.8,25.0,24.5,24.8,11900
2023-07-05,24.7,24.9,24.7,24.9,17300
2023-07-06,24.9,24.9,24.7,24.9,9521
2023-07-07,24.7,24.8,24.5,24.8,7222
2023-07-10,24.6,24.8,24.5,24.6,27590
2023-07-11,24.7,25.1,24.7,25.0,36003
2023-07-12,25.3,25.3,24.6,24.9,12713
2023-07-13,24.8,24.8,24.7,24.7,3900
2023-07-14,24.8,24.8,24.5,24.8,14050
2023-07-17,24.6,24.8,24.5,24.7,16406
2023-07-18,24.9,24.9,24.5,24.7,23022
2023-07-19,24.7,24.7,24.4,24.6,34500
2023-07-20,24.6,24.8,24.4,24.7,38622
2023-07-21,24.6,24.6,24.5,24.6,5604
2023-07-24,24.6,25.0,24.4,24.5,19953
2023-07-25,24.5,24.7,24.3,24.6,22207
2023-07-26,24.7,24.8,24.4,24.6,26907
2023-07-27,24.5,24.5,24.2,24.5,29111
2023-07-28,24.9,28.0,24.9,25.9,65208
2023-07-31,26.4,27.5,26.3,26.3,36634
2023-08-01,26.4,26.5,25.0,25.5,31928
2023-08-02,25.5,25.5,24.5,25.3,60000
2023-08-03,25.2,25.2,24.5,25.0,35300
2023-08-04,24.9,25.2,24.9,25.1,25520
2023-08-07,25.3,25.5,24.8,25.1,50247
2023-08-08,25.0,25.4,24.7,25.4,86860
2023-08-09,25.1,25.5,24.8,25.2,40321
2023-08-10,25.4,25.4,24.7,25.1,55300
2023-08-11,25.0,25.3,24.5,24.9,69290
2023-08-14,25.0,25.4,24.8,25.2,52114
2023-08-15,25.3,25.4,24.4,24.8,72381
2023-08-16,24.5,24.8,24.5,24.5,26312
2023-08-17,24.5,24.8,24.4,24.5,42400
2023-08-18,24.3,24.5,22.9,23.5,75057
2023-08-21,23.4,23.5,22.9,23.1,34607
2023-08-22,23.1,23.8,23.0,23.4,11202
2023-08-23,23.8,23.9,20.6,22.8,52312
2023-08-24,23.0,23.0,22.0,22.5,14600
2023-08-25,22.3,23.5,21.0,23.0,71210
2023-08-28,22.7,23.4,21.8,22.8,18411
2023-08-29,22.8,23.2,22.0,22.4,60716
2023-08-30,22.2,22.5,22.0,22.0,38400
2023-08-31,22.6,23.5,22.0,23.0,122506
2023-09-05,23.5,24.0,22.0,22.8,193904
2023-09-06,23.5,25.0,22.7,23.1,64768
2023-09-07,23.6,24.3,23.1,23.5,56364
2023-09-08,24.0,24.0,23.2,23.4,39995
2023-09-11,23.3,23.6,22.7,23.0,39114
2023-09-12,23.1,23.3,22.5,23.2,28000
2023-09-13,23.0,23.6,22.8,23.0,19045
2023-09-14,23.5,23.5,22.5,23.1,37900
2023-09-15,22.8,23.0,22.1,22.9,19300
2023-09-18,22.4,22.9,22.4,22.5,27117
2023-09-19,22.5,22.7,22.1,22.6,26738
2023-09-20,22.5,22.8,22.2,22.6,32900
2023-09-21,22.6,22.6,22.2,22.6,18102
2023-09-22,22.1,22.4,21.9,22.2,35038
2023-09-25,22.1,22.6,21.1,22.2,27400
2023-09-26,21.9,22.4,21.6,22.0,25201
