time,open,high,low,close,volume
2023-03-30,5.35,5.35,5.25,5.27,41002
2023-03-31,5.25,5.3,5.25,5.29,25370
2023-04-03,5.3,5.41,5.19,5.28,87947
2023-04-04,5.3,5.51,5.28,5.49,103470
2023-04-05,5.49,5.62,5.3,5.51,63723
2023-04-06,5.51,5.72,5.51,5.64,128747
2023-04-07,5.64,5.72,5.49,5.57,21767
2023-04-10,5.62,5.64,5.38,5.41,85916
2023-04-11,5.35,5.35,5.09,5.26,65250
2023-04-12,5.27,5.51,5.27,5.41,87667
2023-04-13,5.41,5.51,5.38,5.38,44758
2023-04-14,5.38,5.51,5.3,5.33,56803
2023-04-17,5.08,5.38,5.08,5.3,23219
2023-04-18,5.49,5.49,5.3,5.38,17421
2023-04-19,5.43,5.43,5.28,5.38,27860
2023-04-20,5.25,5.43,5.25,5.3,17527
2023-04-21,5.54,5.54,5.3,5.3,21546
2023-04-24,5.46,5.46,5.26,5.28,11439
2023-04-25,5.3,5.3,5.19,5.19,25214
2023-04-26,5.06,5.29,5.04,5.27,19450
2023-04-27,5.25,5.35,5.23,5.23,27748
2023-04-28,5.57,5.57,5.35,5.41,75315
2023-05-04,5.2,5.38,5.2,5.38,12989
2023-05-05,5.43,5.43,5.27,5.35,41912
2023-05-08,5.41,5.41,5.25,5.28,44729
2023-05-09,5.3,5.64,5.3,5.64,188666
2023-05-10,5.72,6.02,5.72,6.02,184200
2023-05-11,6.41,6.41,5.99,6.02,339298
2023-05-12,5.91,5.94,5.75,5.78,104957
2023-05-15,5.8,6.17,5.75,6.17,201420
2023-05-16,6.2,6.36,6.02,6.15,101203
2023-05-17,6.15,6.31,5.83,5.83,97014
2023-05-18,5.83,6.1,5.83,6.04,68220
2023-05-19,5.99,6.04,5.88,6.02,50180
2023-05-22,6.02,6.07,5.88,5.94,99431
2023-05-23,6.15,6.17,5.94,5.94,85901
2023-05-24,5.99,6.12,5.94,5.96,72100
2023-05-25,6.04,6.12,5.94,6.1,65312
2023-05-26,6.2,6.33,6.12,6.31,104900
2023-05-29,6.47,6.57,6.36,6.47,125406
2023-05-30,6.44,6.47,6.25,6.36,118067
2023-05-31,6.57,6.57,6.36,6.44,125032
2023-06-01,6.47,6.76,6.47,6.52,91089
2023-06-02,6.76,6.76,6.2,6.41,192352
2023-06-05,6.52,6.84,6.39,6.81,369279
2023-06-06,6.89,6.89,6.76,6.84,81314
2023-06-07,6.92,7.31,6.78,7.31,217611
2023-06-08,7.69,7.74,7.21,7.21,249392
2023-06-09,7.37,7.42,7.08,7.31,155930
2023-06-12,7.34,7.63,7.34,7.63,131154
2023-06-13,7.74,7.74,7.53,7.61,79322
2023-06-14,7.69,7.74,7.5,7.69,116646
2023-06-15,7.53,7.63,7.42,7.47,126230
2023-06-16,7.53,7.63,7.47,7.55,98706
2023-06-19,7.76,7.76,7.31,7.55,156650
2023-06-20,7.55,7.76,7.42,7.55,39617
2023-06-21,7.55,7.55,7.31,7.37,202300
2023-06-22,7.37,7.47,7.31,7.42,49510
2023-06-23,7.42,7.5,7.34,7.37,132045
2023-06-26,7.21,7.42,7.21,7.39,139800
2023-06-27,7.31,7.47,7.26,7.47,32800
2023-06-28,7.47,7.5,7.37,7.42,92062
2023-06-29,7.34,7.39,7.34,7.37,30311
2023-06-30,7.37,7.42,7.34,7.42,42000
2023-07-03,7.39,7.42,7.26,7.42,64102
2023-07-04,7.61,7.61,7.39,7.42,98379
2023-07-05,7.42,7.42,7.37,7.37,44000
2023-07-06,7.37,7.39,7.26,7.26,37629
2023-07-07,7.26,7.26,7.0,7.21,66807
2023-07-10,7.37,7.37,7.13,7.26,52200
2023-07-11,7.26,7.26,7.05,7.16,52533
2023-07-12,7.13,7.16,7.02,7.16,53302
2023-07-13,7.16,7.18,7.05,7.18,33903
2023-07-14,7.21,7.21,7.13,7.16,24809
2023-07-17,7.16,7.58,7.13,7.42,134046
2023-07-18,7.42,7.61,7.26,7.37,57701
2023-07-19,7.37,7.37,7.18,7.21,35030
2023-07-20,7.16,7.26,7.05,7.21,43100
2023-07-21,7.16,7.26,7.08,7.21,65801
2023-07-24,7.21,7.37,7.1,7.26,67630
2023-07-25,7.26,7.26,7.18,7.23,103801
2023-07-26,7.21,7.53,7.18,7.42,155850
2023-07-27,7.53,7.87,7.42,7.45,496970
2023-07-28,7.71,7.71,7.45,7.45,149870
2023-07-31,7.69,7.69,7.16,7.31,237176
2023-08-01,7.31,7.31,7.08,7.13,151000
2023-08-02,7.13,7.18,7.1,7.1,123886
2023-08-03,7.1,7.29,7.1,7.16,137947
2023-08-04,7.18,7.26,7.13,7.18,42602
2023-08-07,7.26,7.34,7.13,7.29,175117
2023-08-08,7.29,7.63,7.29,7.42,196870
2023-08-09,7.5,7.5,7.34,7.34,117752
2023-08-10,7.37,7.47,7.13,7.16,189680
2023-08-11,7.18,7.29,7.08,7.16,91489
2023-08-14,7.23,7.39,7.1,7.39,100561
2023-08-15,7.39,7.42,7.26,7.29,77106
2023-08-16,7.31,7.31,7.21,7.23,77180
2023-08-17,7.29,7.34,7.13,7.13,132656
2023-08-18,7.13,7.13,6.65,6.65,208155
2023-08-21,6.68,6.7,6.47,6.63,119403
2023-08-22,6.63,6.63,6.41,6.57,64216
2023-08-23,6.52,6.57,6.31,6.36,95593
2023-08-24,6.41,6.65,6.41,6.6,48304
2023-08-25,6.52,6.84,6.52,6.76,52509
2023-08-28,6.89,7.1,6.78,6.94,132033
2023-08-29,7.0,7.1,6.94,6.94,78800
2023-08-30,6.94,6.94,6.57,6.68,122544
2023-08-31,6.84,6.84,6.68,6.84,31160
2023-09-05,6.84,7.18,6.84,7.08,87841
2023-09-06,7.1,7.1,6.92,7.08,51950
2023-09-07,6.97,7.05,6.89,7.0,124290
2023-09-08,7.05,7.08,6.94,6.97,72711
2023-09-11,7.05,7.21,6.92,6.92,97851
2023-09-12,6.92,7.0,6.89,6.92,71071
2023-09-13,6.92,7.18,6.92,7.0,123145
2023-09-14,7.05,7.13,6.92,7.0,60373
2023-09-15,7.0,7.16,6.94,6.97,22348
2023-09-18,6.89,7.05,6.89,6.94,35200
2023-09-19,6.89,6.94,6.78,6.86,23143
2023-09-20,7.0,7.05,6.84,6.94,38831
2023-09-21,6.89,6.94,6.84,6.94,35057
2023-09-22,6.63,6.94,6.63,6.78,47200
