time,open,high,low,close,volume,close_t0,close_t1,close_t2,close_t3,close_t4,close_t5,close_t6,coef_close_t0_to_close_t6,ground_truth
2023-03-30,5.35,5.35,5.25,5.27,41002,1.0,1.0037950664136623,1.0018975332068312,1.0417457305502849,1.045540796963947,1.0702087286527515,1.0569259962049338,0.012401734887503407,up
2023-03-31,5.25,5.3,5.25,5.29,25370,1.0,0.9981096408317581,1.0378071833648395,1.0415879017013232,1.0661625708884688,1.052930056710775,1.0226843100189036,0.007358898190656212,up
2023-04-03,5.3,5.41,5.19,5.28,87947,1.0,1.0397727272727273,1.043560606060606,1.0681818181818181,1.0549242424242424,1.0246212121212122,0.9962121212121211,-0.001082251082251089,sideways
2023-04-04,5.3,5.51,5.28,5.49,103470,1.0,1.0036429872495445,1.0273224043715845,1.0145719489981786,0.9854280510018215,0.9581056466302367,0.9854280510018215,-0.006310174342961215,down
2023-04-05,5.49,5.62,5.3,5.51,63723,1.0,1.0235934664246824,1.0108892921960073,0.9818511796733213,0.9546279491833031,0.9818511796733213,0.9764065335753176,-0.007518796992481205,down
2023-04-06,5.51,5.72,5.51,5.64,128747,1.0,0.9875886524822696,0.9592198581560284,0.9326241134751774,0.9592198581560284,0.9539007092198581,0.9450354609929079,-0.008295339412360677,down
2023-04-07,5.64,5.72,5.49,5.57,21767,1.0,0.9712746858168761,0.9443447037701974,0.9712746858168761,0.9658886894075404,0.9569120287253141,0.9515260323159783,-0.00545011541420879,down
2023-04-10,5.62,5.64,5.38,5.41,85916,1.0,0.9722735674676525,1.0,0.9944547134935304,0.9852125693160814,0.9796672828096118,0.9944547134935304,-0.0005941378399788822,sideways
2023-04-11,5.35,5.35,5.09,5.26,65250,1.0,1.0285171102661597,1.0228136882129277,1.0133079847908746,1.0076045627376427,1.0228136882129277,1.0228136882129277,0.0014937533948940792,sideways
2023-04-12,5.27,5.51,5.27,5.41,87667,1.0,0.9944547134935304,0.9852125693160814,0.9796672828096118,0.9944547134935304,0.9944547134935304,0.9796672828096118,-0.0018484288354898406,sideways
2023-04-13,5.41,5.51,5.38,5.38,44758,1.0,0.9907063197026023,0.9851301115241635,1.0,1.0,0.9851301115241635,0.9851301115241635,-0.0014604354753053723,sideways
2023-04-14,5.38,5.51,5.3,5.33,56803,1.0,0.9943714821763602,1.0093808630393997,1.0093808630393997,0.9943714821763602,0.9943714821763602,0.9906191369606004,-0.0015411417850442195,sideways
2023-04-17,5.08,5.38,5.08,5.3,23219,1.0,1.0150943396226415,1.0150943396226415,1.0,1.0,0.9962264150943397,0.979245283018868,-0.004110512129380032,sideways
2023-04-18,5.49,5.49,5.3,5.38,17421,1.0,1.0,0.9851301115241635,0.9851301115241635,0.9814126394052045,0.9646840148698885,0.9795539033457249,-0.004845990440785973,down
2023-04-19,5.43,5.43,5.28,5.38,27860,1.0,0.9851301115241635,0.9851301115241635,0.9814126394052045,0.9646840148698885,0.9795539033457249,0.9721189591078068,-0.004115772703133282,sideways
2023-04-20,5.25,5.43,5.25,5.3,17527,1.0,1.0,0.9962264150943397,0.979245283018868,0.9943396226415094,0.9867924528301888,1.0207547169811322,0.001212938005390851,sideways
2023-04-21,5.54,5.54,5.3,5.3,21546,1.0,0.9962264150943397,0.979245283018868,0.9943396226415094,0.9867924528301888,1.0207547169811322,1.0150943396226415,0.003638814016172506,sideways
2023-04-24,5.46,5.46,5.26,5.28,11439,1.0,0.9829545454545455,0.9981060606060604,0.9905303030303031,1.0246212121212122,1.0189393939393938,1.0132575757575757,0.004937770562770547,up
2023-04-25,5.3,5.3,5.19,5.19,25214,1.0,1.0154142581888246,1.0077071290944124,1.0423892100192678,1.0366088631984585,1.0308285163776492,1.0173410404624277,0.00399119185246351,sideways
